Time sec,Device 1 ,Device 2,Device 3,Device 4,Device 5
0,0.5028204,0.5535515,0.4702308,0.4985735,0.4763324
0.1,0.4904434,0.5046296,0.4584123,0.5436148,0.5120366
0.2,0.4938224,0.5358357,0.3250955,0.5752364,0.5275004
0.3,0.5154993,0.4878663,0.2606489,0.6108367,0.5797543
0.4,0.5460115,0.4292603,0.5339247,0.7132943,0.6838837
0.5,0.5640174,0.4799187,0.6049763,0.7509211,0.7074265
0.6,0.562032,0.4694056,0.3203643,0.7260868,0.7000101
0.7,0.5715005,0.4563819,0.4727003,0.671777,0.7596686
0.8,0.5666399,0.5616147,0.7273469,0.6254813,0.7517798
0.9,0.5704049,0.5055899,0.7653383,0.6026108,0.8764004
1,0.5841342,0.5533888,0.5045316,0.6887755,0.9240758
1.1,0.5902845,0.592227,0.5803184,0.7326448,0.9134236
1.2,0.5988808,0.6021501,0.731992,0.691343,0.9086021
1.3,0.5972149,0.6280565,0.7053858,0.6564169,1.003308
1.4,0.6197228,0.6282976,0.8840497,0.7579456,1.102499
1.5,0.6066324,0.6387401,1.019097,0.7229039,1.182064
1.6,0.6094371,0.644665,0.9772858,0.7923268,1.303555
1.7,0.6224196,0.6514543,0.9931769,0.8123671,1.395942
1.8,0.6425619,0.6582807,0.9856037,0.8868211,1.438626
1.9,0.6572889,0.6612638,0.8920344,0.8823192,1.580772
2,0.6377777,0.7216454,0.8774917,0.91936,1.716762
2.1,0.641286,0.6794598,0.7997077,0.9590859,1.884037
2.2,0.6517285,0.8640367,0.8922069,0.9496332,2.077014
2.3,0.6687231,0.9367857,0.8972028,0.9378344,2.141145
2.4,0.6988376,0.9347277,0.8715609,1.008906,2.16068
2.5,0.7428126,0.9754082,0.8786069,1.079163,2.208285
2.6,0.7605854,0.9168884,0.9832459,1.020612,2.369746
2.7,0.7924892,0.9436768,0.9815153,1.117502,2.552737
2.8,0.8032688,0.8908957,1.100507,1.084449,2.725598
2.9,0.8099366,0.835896,1.191348,1.097783,2.906063
3,0.8249163,0.6697268,1.270951,1.839666,3.079147
3.1,0.8604676,0.8761648,1.250319,1.237448,3.232624
3.2,0.9034157,0.9043056,1.299803,1.525423,3.417036
3.3,0.9357762,0.9899744,1.012753,2.434908,3.592072
3.4,0.9651556,1.025237,1.266839,2.405903,3.781604
3.5,0.9756295,1.036742,0.9216981,2.315691,3.769452
3.6,0.9946016,1.036286,1.066473,2.399999,3.826739
3.7,1.003043,1.004023,1.309007,2.607874,3.964717
3.8,1.007455,1.073332,1.322775,2.695548,4.088473
3.9,1.020786,1.151883,1.379945,2.638394,4.174671
4,1.10468,1.176876,1.374818,2.273438,4.227789
4.1,1.164981,1.228767,1.405514,2.233603,4.287694
4.2,1.191758,1.256971,1.436128,2.258302,4.397762
4.3,1.207637,1.288451,1.297363,2.308306,4.422079
4.4,1.215865,1.296985,1.31863,2.303281,4.359745
4.5,1.200791,1.377111,1.38555,2.191217,4.350169
4.6,1.205987,1.418593,1.366931,2.227284,4.190315
4.7,1.251716,1.376078,1.435607,2.250223,4.163977
4.8,1.291201,1.403062,1.373197,2.296785,4.182426
4.9,1.431901,1.422583,1.299795,2.342722,4.166939
5,1.431156,1.495107,1.331097,2.446762,4.204975
5.1,1.435211,1.58957,1.6324,2.624212,4.113227
5.2,1.445195,1.620403,1.752291,2.701344,4.103933
5.3,1.473857,1.650875,1.612162,2.679429,4.002055
5.4,1.477912,1.67202,1.555963,2.563315,3.914544
5.5,1.52838,1.713759,1.368422,2.555032,3.93598
5.6,1.567307,1.714353,1.736947,2.726374,3.811477
5.7,1.624227,1.758246,1.8186,2.86244,3.787462
5.8,1.660529,1.825534,1.792935,2.962823,4.032558
5.9,1.647327,1.88563,1.796786,3.296433,3.883291
6,1.684879,1.888887,1.843848,3.96746,3.956365
6.1,1.688558,1.909396,1.866487,3.958197,4.064881
6.2,1.685793,1.89895,1.934389,4.026127,4.361352
6.3,1.704085,1.902603,2.066267,3.914849,4.252404
6.4,1.741933,1.926657,2.116287,3.42241,4.574182
6.5,1.804516,1.956211,1.966058,3.20138,4.919779
6.6,1.89649,2.061385,1.920525,3.05181,4.888801
6.7,1.941939,2.15908,1.734372,3.42885,4.854224
6.8,1.993793,2.19852,1.710523,3.649453,4.891118
6.9,2.013759,2.207004,1.764516,3.543007,4.856097
7,2.02955,2.213525,1.825052,3.705509,4.870826
7.1,2.033877,2.23189,1.795865,3.626576,4.786665
7.2,2.041458,2.391076,1.809116,3.571847,4.74893
7.3,2.113531,2.526552,1.87106,3.736,4.747027
7.4,2.185831,2.59359,1.842627,3.853619,4.862904
7.5,2.295137,2.594117,1.872167,3.96021,4.924111
7.6,2.482362,2.602388,1.883476,3.85006,5.085876
7.7,2.474338,2.625564,1.879815,3.962715,4.979158
7.8,2.391848,2.758879,2.001019,3.874314,5.007502
7.9,2.399215,2.900633,2.168549,3.975984,5.06385
8,2.471568,2.47196,2.155264,4.223118,5.231417
8.1,2.544635,2.45702,2.149898,4.33968,5.303143
8.2,2.642292,2.481611,2.253761,4.377289,5.339974
8.3,2.696312,2.506134,2.158353,4.450253,5.311919
8.4,2.695636,2.594658,2.291964,4.517234,5.411163
8.5,2.743566,2.644478,2.428603,4.513471,5.636901
8.6,2.712821,2.696287,2.477092,4.447121,5.654211
8.7,2.722577,2.681746,2.432501,4.369217,5.633596
8.8,2.770582,2.710008,2.512049,4.438537,5.751275
8.9,2.835356,2.73995,2.45829,4.499095,6.002048
9,2.909181,2.833878,2.691414,4.508326,6.139518
9.1,2.986414,2.959739,2.862052,4.628145,6.07767
9.2,3.038274,3.144475,2.83587,4.438205,6.064688
9.3,3.049426,3.474848,2.923463,4.091048,6.343775
9.4,3.043174,3.395827,2.821815,4.237714,6.633512
9.5,3.041127,3.336819,2.722432,4.634138,6.711663
9.6,3.052297,3.324031,2.943437,4.466454,6.65644
9.7,3.108828,3.387599,3.144675,4.644177,6.919753
9.8,3.147977,3.454243,3.142745,4.800055,7.230293
9.9,3.212659,3.554174,3.331878,4.58387,7.252354
10,3.276073,3.52044,3.305839,4.581851,7.093678
10.1,3.297754,3.581895,3.36115,5.017894,7.253099
10.2,3.284336,3.62172,3.247932,5.443435,7.636988
10.3,3.310748,3.724832,3.291357,5.112022,7.837525
10.4,3.300498,3.734563,3.242392,4.944855,7.774654
10.5,3.292446,3.718158,3.275442,4.898616,7.736259
10.6,3.29247,3.743624,3.216375,4.834138,8.218654
10.7,3.295978,3.881237,3.289406,4.696874,8.424615
10.8,3.275977,3.802577,3.335453,4.88989,8.319285
10.9,3.26195,3.909227,3.31644,5.24937,8.4377
11,3.242646,4.010657,3.305109,5.388718,8.816415
11.1,3.232715,4.052443,3.303657,5.297541,9.007877
11.2,3.223803,4.061796,3.292195,5.42451,9.02418
11.3,3.219829,4.039934,3.301519,5.860239,9.095419
11.4,3.205427,4.009197,3.239348,6.093965,9.300789
11.5,3.182968,3.939172,3.647577,6.279865,9.792808
11.6,3.191174,3.937232,3.345372,6.3582,9.872757
11.7,3.186222,3.886985,3.6081,6.699488,9.758838
11.8,3.184436,3.899889,3.727946,7.134111,10.09014
11.9,3.171881,3.897828,3.761075,7.241112,10.49453
12,3.171722,3.852859,3.839837,7.302823,10.68716
12.1,3.159788,3.990266,4.192008,7.142727,10.72786
12.2,3.123607,3.814507,4.156562,7.611987,10.77929
12.3,3.091608,3.930417,4.159994,8.000242,11.23719
12.4,3.081083,4.008429,4.409653,8.118128,11.4892
12.5,3.052166,4.0649,4.779453,8.115117,11.49197
12.6,3.072489,4.133284,4.983781,8.479661,11.58279
12.7,3.081624,4.329084,5.030243,9.095266,12.09541
12.8,3.075334,4.564405,4.895564,9.155334,12.0575
12.9,3.085393,4.612687,5.220761,9.195607,12.1446
13,3.083805,4.643667,5.598703,9.306198,12.20396
13.1,3.066907,4.745461,5.696684,9.722626,12.64346
13.2,3.270658,5.039243,5.746988,10.0272,12.95578
13.3,3.266232,5.189527,5.854933,9.955266,12.74057
13.4,3.160985,5.12757,6.3033,9.633088,12.7328
13.5,3.079934,5.153343,6.581999,9.368701,12.7172
13.6,3.074094,5.261124,6.589521,9.475838,13.36949
13.7,3.048393,5.581181,6.719422,9.335421,13.59408
13.8,2.893503,5.735377,6.88664,9.577171,13.42666
13.9,2.713083,5.799111,7.325975,10.32905,13.435
14,2.532701,5.747592,7.590194,10.66503,13.62029
14.1,2.383052,5.829509,7.591233,10.37613,14.271
14.2,2.25103,5.914887,7.696889,10.68284,14.49865
14.3,2.124773,6.019764,8.23145,10.56321,14.14268
14.4,2.035241,6.277076,8.616659,11.01551,14.1556
14.5,1.941082,6.643541,8.697436,12.60508,14.33388
14.6,1.839479,6.655834,8.655995,13.62137,14.85067
14.7,1.781498,6.676346,8.598777,12.76932,15.28731
14.8,1.739391,6.577577,9.015565,12.46332,15.33445
14.9,1.730514,6.607733,9.289956,13.46909,15.17897
15,1.718306,6.65407,9.320437,14.64935,15.23309
15.1,1.770005,6.925207,9.151004,14.04717,15.96065
15.2,1.823694,7.237719,9.639025,13.74832,15.97567
15.3,1.880953,7.245955,10.30377,13.53433,15.73913
15.4,1.987638,7.342658,10.53775,13.59931,15.78109
15.5,2.11533,7.334364,10.59882,13.91721,16.22342
15.6,2.251744,7.306956,10.99877,14.21927,16.69174
15.7,2.466159,7.34078,11.26471,14.23852,16.83717
15.8,2.726858,7.59077,11.43825,14.15192,16.59637
15.9,3.143301,8.003489,11.41633,14.30051,16.65231
16,3.68255,8.035699,11.4202,14.91568,17.38183
16.1,4.304786,8.020921,11.63557,15.43333,17.67666
16.2,5.082943,8.103278,12.31854,15.65477,17.52424
16.3,5.947229,7.708163,12.72804,14.71052,17.30814
16.4,6.647627,8.230948,12.68476,14.1602,17.60333
16.5,7.193168,8.637023,12.58801,14.96308,18.07122
16.6,7.714185,8.880725,12.75949,15.47447,18.30936
16.7,8.256335,8.898373,14.0115,15.72268,18.27317
