Time,Volume,Balloon,Comments
17,5,1,
21,10,1,
26,15,1,
30,20,1,
34,25,1,
43,28,1,
44,29,1,
46,30,1,
54,35,1,
58,36,1,
61,37,1,
62,40,1,
64,41,1,Burst
17,0,2,Force starts at 8 seconds
21,5,2,
23,10,2,
28,15,2,
33,17,2,
36,20,2,
41,23,2,
44,25,2,
48,28,2,
52,30,2,
56,31,2,
61,35,2,
65,38,2,Burst
17,0,3,
21,10,3,
25,14,3,
26,15,3,
28,18,3,
31,20,3,
35,25,3,
41,28,3,
43,29,3,
44,30,3,
47,31,3,
49,32,3,
49.5,33,3,
51,35,3,
54,37,3,
55,38,3,
56,39,3,
57,40,3,
58,41,3,
59,41,3,Burst
20,0,4,Force starts at 14
22,5,4,
23,10,4,
25,15,4,
28,20,4,
31,25,4,
34,27,4,
36,28,4,
37,29,4,
39,30,4,
42,31,4,
44,32,4,
45,33,4,
47,34,4,
48,35,4,
50,36,4,
51,37,4,
52,38,4,
53,39,4,
55,40.5,4,Burst
25,0,5,Force starts at 13
27,5,5,
28,10,5,
31,15,5,
33,20,5,
36,25,5,
40,30,5,
44,31,5,
46,33,5,
48,34,5,
49,35,5,
50,36,5,
51,37,5,
53,39,5,
54,40,5,
56,41,5,
57,42,5,
58,43,5,
60,44,5,
62,45,5,
63,46,5,
64,47,5,Burst
